MjAxOC0wMS0wMiw5Ljc2LDkuNzYsOS45MSw5LjY3LDE2MTg0LDI1MTA5MDY2LjAwLDIuNDUsLTAuMzEsLTAuMDMsMy4wMw==
2018-01-03,9.74,9.73,9.77,9.58,20328,31269111.00,1.95,-0.31,-0.03,3.81
2018-01-04,9.68,9.69,9.76,9.64,16960,26133458.00,1.23,-0.41,-0.04,3.18
2018-01-05,9.66,9.79,9.85,9.66,18605,28860465.00,1.96,1.03,0.10,3.49
2018-01-08,9.89,9.83,9.95,9.69,17540,27307503.00,2.66,0.41,0.04,3.29
2018-01-09,9.83,9.67,9.89,9.65,19151,29624216.00,2.44,-1.63,-0.16,3.59
2018-01-10,9.67,9.31,9.73,9.27,21324,32129895.00,4.76,-3.72,-0.36,4.00
2018-01-11,9.31,9.45,9.53,9.22,15550,23370889.00,3.33,1.50,0.14,2.92
2018-01-12,9.44,9.49,9.51,9.36,14752,22190824.00,1.59,0.42,0.04,2.77
2018-01-15,9.46,9.06,9.46,9.04,18843,27802295.00,4.43,-4.53,-0.43,3.53
2018-01-16,9.11,9.32,9.36,9.06,19066,28238970.00,3.31,2.87,0.26,3.58
2018-01-17,9.32,9.68,9.70,9.21,35020,53210340.00,5.26,3.86,0.36,6.57
2018-01-18,9.64,9.60,9.66,9.49,20404,31133071.00,1.76,-0.83,-0.08,3.83
2018-01-19,9.59,9.51,9.73,9.45,21220,32456271.00,2.92,-0.94,-0.09,3.98
2018-01-22,9.51,9.39,9.51,9.21,18056,26940591.00,3.15,-1.26,-0.12,3.39
2018-01-23,9.33,9.46,9.51,9.33,13354,20149668.00,1.92,0.75,0.07,2.50
2018-01-24,9.55,9.61,9.65,9.36,23031,34938560.00,3.07,1.59,0.15,4.32
2018-01-25,9.61,9.62,9.89,9.56,30370,46905477.00,3.43,0.10,0.01,5.69
2018-01-26,9.59,9.49,9.71,9.48,16062,24498294.00,2.39,-1.35,-0.13,3.01
2018-01-29,9.54,9.35,9.56,9.25,16936,25314355.00,3.27,-1.48,-0.14,3.18
2018-01-30,9.27,9.44,9.54,9.22,19359,28967783.00,3.42,0.96,0.09,3.63
2018-01-31,9.32,8.84,9.40,8.69,23874,34386521.00,7.52,-6.36,-0.60,4.48
2018-02-01,8.83,8.23,8.96,8.21,22775,31311807.00,8.48,-6.90,-0.61,4.27
2018-02-02,8.21,8.07,8.21,7.83,13133,17198808.00,4.62,-1.94,-0.16,2.46
2018-02-05,7.96,7.94,8.11,7.84,8063,10495953.00,3.35,-1.61,-0.13,1.51
2018-02-06,7.83,7.11,7.88,7.09,16550,20470814.00,9.95,-10.45,-0.83,3.10
2018-02-07,7.38,7.36,7.49,7.08,14501,17513398.00,5.77,3.52,0.25,2.72
2018-02-08,7.30,7.53,7.63,7.29,9655,11923350.00,4.62,2.31,0.17,1.81
2018-02-09,7.29,7.28,7.46,6.98,12490,14994256.00,6.37,-3.32,-0.25,2.34
2018-02-12,7.40,7.54,7.58,7.36,9648,11890315.00,3.02,3.57,0.26,1.81
2018-02-13,7.58,7.46,7.60,7.44,8913,11015777.00,2.12,-1.06,-0.08,1.67
2018-02-14,7.51,7.55,7.79,7.43,10009,12493504.00,4.83,1.21,0.09,1.88
2018-02-22,7.68,7.68,7.74,7.55,6416,8048392.00,2.52,1.72,0.13,1.20
2018-02-23,7.68,7.76,7.79,7.55,10696,13501550.00,3.13,1.04,0.08,2.01
2018-02-26,7.81,7.95,7.99,7.81,12447,16070246.00,2.32,2.45,0.19,2.33
2018-02-27,7.91,7.94,8.11,7.86,13562,17627473.00,3.14,-0.13,-0.01,2.54
2018-02-28,7.89,7.82,7.89,7.73,10452,13346616.00,2.02,-1.51,-0.12,1.96
2018-03-01,7.77,7.94,8.04,7.76,14090,18253381.00,3.58,1.53,0.12,2.64
2018-03-02,7.90,7.99,8.06,7.78,15332,19943561.00,3.53,0.63,0.05,2.87
2018-03-05,7.94,8.09,8.16,7.94,13470,17690961.00,2.75,1.25,0.10,2.53
2018-03-06,8.08,8.21,8.26,7.92,22891,30073559.00,4.20,1.48,0.12,4.29
2018-03-07,8.15,8.12,8.17,8.06,12784,16852417.00,1.34,-1.10,-0.09,2.40
2018-03-08,8.16,8.30,8.34,8.04,24290,32392499.00,3.69,2.22,0.18,4.55
2018-03-09,8.32,8.46,8.50,8.19,22744,30872604.00,3.73,1.93,0.16,4.26
2018-03-12,8.46,8.81,9.08,8.46,53691,75694133.00,7.33,4.14,0.35,10.07
2018-03-13,8.71,8.55,8.81,8.54,30473,42478623.00,3.06,-2.95,-0.26,5.71
2018-03-14,8.54,8.44,8.54,8.38,17228,23493074.00,1.87,-1.29,-0.11,3.23
2018-03-15,8.29,8.21,8.44,8.04,20524,27351861.00,4.74,-2.73,-0.23,3.85
2018-03-16,8.17,8.50,8.66,8.17,27371,37376244.00,5.97,3.53,0.29,5.13
2018-03-19,8.48,8.57,8.61,8.40,15876,21923686.00,2.47,0.82,0.07,2.98
2018-03-20,8.52,8.52,8.57,8.35,17400,23770908.00,2.57,-0.58,-0.05,3.26
2018-03-21,8.53,8.67,8.90,8.39,43267,60656993.00,5.99,1.76,0.15,8.11
2018-03-22,8.67,8.95,9.01,8.61,63391,89841624.00,4.61,3.23,0.28,11.89
2018-03-23,8.60,7.92,8.86,7.92,45625,62370276.00,10.50,-11.51,-1.03,8.56
2018-03-26,7.87,7.93,7.94,7.47,24183,30613591.00,5.93,0.13,0.01,4.53
2018-03-27,8.01,8.09,8.21,8.01,21122,27889019.00,2.52,2.02,0.16,3.96
2018-03-28,7.99,8.46,8.66,7.91,37967,51286678.00,9.27,4.57,0.37,7.12
2018-03-29,8.50,9.27,9.39,8.24,74005,105083309.00,13.59,9.57,0.81,13.88
2018-03-30,9.11,9.50,9.60,8.98,66763,98796217.00,6.69,2.48,0.23,12.52
2018-04-02,9.50,9.58,9.64,9.24,45109,67873465.00,4.21,0.84,0.08,8.46
2018-04-03,9.33,9.60,10.66,9.24,127850,199593416.00,14.82,0.21,0.02,23.97
2018-04-04,9.68,9.11,10.19,9.10,75457,114170679.00,11.35,-5.10,-0.49,14.15
2018-04-09,9.04,9.26,9.61,8.84,48859,71895766.00,8.45,1.65,0.15,9.16
2018-04-10,9.29,9.10,9.60,8.89,44444,65330605.00,7.67,-1.73,-0.16,8.33
2018-04-11,8.98,10.14,10.14,8.98,104891,162004601.00,12.75,11.43,1.04,19.67
2018-04-12,10.11,9.70,10.11,9.54,106429,165390132.00,5.62,-4.34,-0.44,19.96
2018-04-13,9.58,9.36,9.86,9.27,58407,88954816.00,6.08,-3.51,-0.34,10.95
2018-04-16,9.40,9.28,9.53,9.14,34899,51884569.00,4.17,-0.85,-0.08,6.54
2018-04-17,9.38,8.89,9.47,8.83,34263,50407604.00,6.90,-4.20,-0.39,6.42
2018-04-18,8.92,8.79,9.11,8.36,35541,49670385.00,8.44,-1.12,-0.10,6.66
2018-04-19,8.81,8.68,8.87,8.64,23103,32547452.00,2.62,-1.25,-0.11,4.33
2018-04-20,8.61,8.15,8.74,8.06,21078,28737924.00,7.83,-6.11,-0.53,3.95
2018-04-23,8.21,8.25,8.33,8.07,14247,18982682.00,3.19,1.23,0.10,2.67
2018-04-24,8.34,8.74,8.83,8.26,26977,37425354.00,6.91,5.94,0.49,5.06
2018-04-25,8.61,8.63,8.76,8.59,17296,24153486.00,1.95,-1.26,-0.11,3.24
2018-04-26,8.69,8.26,8.69,8.20,19090,26023338.00,5.68,-4.29,-0.37,3.58
2018-04-27,8.29,8.41,8.49,8.29,11401,15512108.00,2.42,1.82,0.15,2.14
2018-05-02,8.45,8.44,8.54,8.35,9295,12691705.00,2.26,0.36,0.03,1.74
2018-05-03,8.44,8.59,8.60,8.11,15956,21699694.00,5.81,1.78,0.15,2.99
2018-05-04,8.60,8.76,8.78,8.48,18789,26252234.00,3.49,1.98,0.17,3.52
2018-05-07,8.94,9.04,9.08,8.79,25865,37234915.00,3.31,3.20,0.28,4.85
2018-05-08,9.06,9.06,9.10,8.94,19102,27590806.00,1.77,0.22,0.02,3.58
2018-05-09,9.06,9.07,9.19,8.96,22652,32954001.00,2.54,0.11,0.01,4.25
2018-05-10,9.09,9.21,9.24,8.98,22405,32847684.00,2.87,1.54,0.14,4.20
2018-05-11,9.24,8.86,9.25,8.81,21315,30796384.00,4.78,-3.80,-0.35,4.00
2018-05-14,8.86,8.99,9.11,8.86,16080,23236653.00,2.82,1.47,0.13,3.02
2018-05-15,8.94,9.26,9.29,8.92,29881,43866448.00,4.12,3.00,0.27,5.60
2018-05-16,9.31,9.19,9.44,9.17,30081,44647475.00,2.92,-0.76,-0.07,5.64
2018-05-17,9.29,9.45,9.50,9.15,31010,46323946.00,3.81,2.83,0.26,5.81
2018-05-18,9.44,9.40,9.46,9.27,23717,35510795.00,2.01,-0.53,-0.05,4.45
2018-05-21,9.47,9.57,9.72,9.40,30079,45860886.00,3.40,1.81,0.17,5.64
2018-05-22,9.57,9.61,9.69,9.51,35177,53800472.00,1.88,0.42,0.04,6.60
2018-05-23,9.76,9.92,10.68,9.76,97676,109856064.00,9.57,3.23,0.31,13.08
2018-05-24,9.42,9.71,9.81,9.41,76720,82065150.00,4.03,-2.12,-0.21,10.28
2018-05-25,9.87,10.79,10.79,9.81,154327,179654426.00,10.09,11.12,1.08,20.67
2018-05-28,11.29,11.46,11.98,10.93,321523,407441024.00,9.73,6.21,0.67,43.06
2018-05-29,10.20,10.26,10.90,10.20,216614,251071165.00,6.11,-10.47,-1.20,29.01
2018-05-30,9.83,9.12,9.99,9.12,136629,145242977.00,8.48,-11.11,-1.14,18.30
2018-05-31,9.27,9.39,9.47,9.08,103980,108317412.00,4.28,2.96,0.27,13.93
2018-06-01,9.46,9.66,10.13,9.40,119493,129384173.00,7.77,2.88,0.27,16.00
2018-06-04,9.69,9.37,9.69,9.16,84415,88014907.00,5.49,-3.00,-0.29,11.31
2018-06-05,9.24,9.77,9.86,9.23,94177,100480594.00,6.72,4.27,0.40,12.61
2018-06-06,9.65,9.85,9.88,9.47,75945,81531378.00,4.20,0.82,0.08,10.17
2018-06-07,9.81,9.39,9.81,9.31,60726,64746619.00,5.08,-4.67,-0.46,8.13
2018-06-08,9.35,9.02,9.36,8.89,60777,61528192.00,5.01,-3.94,-0.37,8.14
2018-06-11,8.91,8.97,9.15,8.82,41234,41681884.00,3.66,-0.55,-0.05,5.52
2018-06-12,8.97,8.89,9.05,8.15,58282,57406546.00,10.03,-0.89,-0.08,7.81
2018-06-13,8.75,8.67,8.95,8.60,37930,37471089.00,3.94,-2.47,-0.22,4.00
2018-06-14,8.50,8.69,8.87,8.50,28425,27913258.00,4.27,0.23,0.02,3.00
2018-06-15,8.60,8.17,8.76,8.05,40529,38068996.00,8.17,-5.98,-0.52,4.28
2018-06-19,7.70,7.24,8.00,7.24,38127,32891012.00,9.30,-11.38,-0.93,4.02
2018-06-20,7.05,7.31,7.47,7.05,29000,24344781.00,5.80,0.97,0.07,3.06
2018-06-21,7.35,7.11,7.45,6.91,33549,27770558.00,7.39,-2.74,-0.20,3.54
2018-06-22,7.08,7.25,7.31,6.94,22001,18266701.00,5.20,1.97,0.14,2.32
2018-06-25,7.28,7.29,7.57,7.26,27357,23254555.00,4.28,0.55,0.04,2.89
2018-06-26,7.17,7.43,7.49,6.95,27385,23101012.00,7.41,1.92,0.14,2.89
2018-06-27,7.41,7.64,8.19,7.40,61049,53791858.00,10.63,2.83,0.21,6.44
2018-06-28,7.60,7.82,7.85,7.48,57378,50486685.00,4.84,2.36,0.18,6.06
2018-06-29,7.71,7.93,8.03,7.56,62617,56240170.00,6.01,1.41,0.11,6.61
2018-07-02,7.93,7.70,7.95,7.52,45425,40229621.00,5.42,-2.90,-0.23,4.79
2018-07-03,7.64,7.80,7.88,7.58,39740,35237576.00,3.90,1.30,0.10,4.19
2018-07-04,7.80,7.85,7.88,7.41,47436,41552273.00,6.03,0.64,0.05,5.01
2018-07-05,7.92,7.54,8.15,7.51,50633,45544573.00,8.15,-3.95,-0.31,5.34
2018-07-06,7.96,7.62,7.96,7.20,47945,41928290.00,10.08,1.06,0.08,5.06
2018-07-09,7.53,7.70,7.72,7.50,39348,34327347.00,2.89,1.05,0.08,4.15
2018-07-10,7.72,7.74,7.83,7.58,37288,32806049.00,3.25,0.52,0.04,3.94
2018-07-11,7.64,7.37,7.64,7.20,32756,27962684.00,5.68,-4.78,-0.37,3.46
2018-07-12,7.31,7.64,7.69,7.30,32239,27990422.00,5.29,3.66,0.27,3.40
2018-07-13,7.60,7.54,7.65,7.53,25898,22452456.00,1.57,-1.31,-0.10,2.73
2018-07-16,7.54,7.59,7.60,7.50,17881,15486261.00,1.33,0.66,0.05,1.89
2018-07-17,7.60,7.57,7.60,7.41,24389,21009917.00,2.50,-0.26,-0.02,2.57
2018-07-18,7.60,7.58,7.72,7.54,30310,26439271.00,2.38,0.13,0.01,3.20
2018-07-19,7.58,7.39,7.61,7.31,18551,15841884.00,3.96,-2.51,-0.19,1.96
2018-07-20,7.40,7.47,7.48,7.29,15788,13430496.00,2.57,1.08,0.08,1.67
2018-07-23,7.47,7.53,7.54,7.36,17973,15413554.00,2.41,0.80,0.06,1.90
2018-07-24,7.53,7.73,7.77,7.51,37129,32567300.00,3.45,2.66,0.20,3.92
2018-07-25,7.72,7.77,7.82,7.64,34858,30768592.00,2.33,0.52,0.04,3.68
2018-07-26,7.83,7.71,7.83,7.66,28056,24747325.00,2.19,-0.77,-0.06,2.96
2018-07-27,7.71,7.71,7.76,7.66,22020,19408151.00,1.30,0.00,0.00,2.32
2018-07-30,7.67,7.56,7.78,7.37,29116,25337203.00,5.32,-1.95,-0.15,3.07
2018-07-31,7.49,7.50,7.55,7.30,13426,11513178.00,3.31,-0.79,-0.06,1.42
2018-08-01,7.54,7.14,7.58,7.13,39176,32939223.00,6.00,-4.80,-0.36,4.14
2018-08-02,7.12,6.67,7.13,6.41,40107,31335417.00,10.08,-6.58,-0.47,4.23
2018-08-03,6.62,6.52,6.69,6.50,16058,12377761.00,2.85,-2.25,-0.15,1.70
2018-08-06,6.52,6.27,6.59,6.25,18076,13554295.00,5.21,-3.83,-0.25,1.91
2018-08-07,6.30,6.54,6.57,6.29,19890,14982096.00,4.47,4.31,0.27,2.10
2018-08-08,6.54,6.36,6.55,6.31,17717,13340878.00,3.67,-2.75,-0.18,1.87
2018-08-09,6.38,6.53,6.58,6.35,22723,17267812.00,3.62,2.67,0.17,2.40
2018-08-10,6.49,6.56,6.59,6.47,14657,11180027.00,1.84,0.46,0.03,1.55
2018-08-13,6.49,6.61,6.62,6.35,15974,12104530.00,4.12,0.76,0.05,1.69
2018-08-14,6.56,6.65,6.74,6.56,17424,13500293.00,2.72,0.61,0.04,1.84
2018-08-15,6.60,6.48,6.68,6.45,15628,11938385.00,3.46,-2.56,-0.17,1.65
2018-08-16,6.41,6.41,6.53,6.26,14059,10570199.00,4.17,-1.08,-0.07,1.48
2018-08-17,6.47,6.32,6.54,6.29,13232,9937322.00,3.90,-1.40,-0.09,1.40
2018-08-20,6.32,6.43,6.43,6.23,10409,7743676.00,3.16,1.74,0.11,1.10
2018-08-21,6.42,6.45,6.52,6.31,16526,12445816.00,3.27,0.31,0.02,1.74
2018-08-22,6.40,6.31,6.48,6.30,10149,7569847.00,2.79,-2.17,-0.14,1.07
2018-08-23,6.37,6.36,6.42,6.26,8909,6645531.00,2.54,0.79,0.05,0.94
2018-08-24,6.36,6.37,6.42,6.29,11651,8686115.00,2.04,0.16,0.01,1.23
2018-08-27,6.35,6.54,6.55,6.33,17055,12919847.00,3.45,2.67,0.17,1.80
2018-08-28,6.58,6.69,6.75,6.47,22019,16983931.00,4.28,2.29,0.15,2.32
2018-08-29,6.85,6.63,6.85,6.59,28880,22444331.00,3.89,-0.90,-0.06,3.05
2018-08-30,6.58,6.42,6.64,6.41,18222,13843261.00,3.47,-3.17,-0.21,1.92
2018-08-31,6.42,6.31,6.44,6.30,15061,11201850.00,2.18,-1.71,-0.11,1.59
2018-09-03,6.30,6.29,6.35,6.19,11610,8523777.00,2.54,-0.32,-0.02,1.23
2018-09-04,6.26,6.37,6.43,6.26,10732,7992374.00,2.70,1.27,0.08,1.13
2018-09-05,6.37,6.31,6.38,6.31,12747,9479023.00,1.10,-0.94,-0.06,1.35
2018-09-06,6.26,6.28,6.35,6.24,9762,7207717.00,1.74,-0.48,-0.03,1.03
2018-09-07,6.35,6.33,6.38,6.23,11262,8364108.00,2.39,0.80,0.05,1.19
2018-09-10,6.26,6.22,6.35,6.21,10931,8042533.00,2.21,-1.74,-0.11,1.15
